model,bio_share,mmlu,gsm8k,truthfulqa_mc2,protein_homology_std_mcc,protein_homology_remote_mcc,f8_bixbench_tf_mcc
M0-base,0,0.8024,0.8734,0.5448,0.2284,-0.0228,0.8495
M1-bio5,5,0.8005,0.8666,0.5239,0.2696,-0.0554,0.8821
M2-bio20,20,0.8,0.8666,0.5209,0.2171,-0.0741,1.0
M3-bio50,50,0.7964,0.8613,0.5187,0.3752,0.0878,1.0
C1-protein,20,0.8013,0.8537,0.5338,0.2467,-0.0035,0.9661
C2-dna,20,0.7939,0.8582,0.5154,0.3124,0.0429,0.8495
C3-protdna,20,0.802,0.8552,0.535,0.2374,0.0246,0.9138
